fname,train0/test1
00044347.wav,0
001ca53d.wav,0
002d256b.wav,0
0033e230.wav,0
00353774.wav,0
003b91e8.wav,0
003da8e5.wav,0
0048fd00.wav,0
004ad66f.wav,0
0063ab88.wav,0
006f2f32.wav,0
0075d39c.wav,0
00780200.wav,0
0079d310.wav,0
0091fc7f.wav,0
0097160c.wav,0
00ad7068.wav,0
00c5808a.wav,0
00c82919.wav,0
00c934d7.wav,0
00c9e799.wav,0
00cb787c.wav,0
00ce569f.wav,0
00d1fe46.wav,0
00d3bba3.wav,0
00d40fa2.wav,0
00d9fa61.wav,0
00e2b4cd.wav,0
00f88dc5.wav,0
00fbb28b.wav,0
00fcbab2.wav,0
010aa387.wav,0
011a2185.wav,0
0120d246.wav,0
01235a12.wav,0
01257aad.wav,0
01302128.wav,0
013264d3.wav,0
013c3135.wav,0
01506d76.wav,0
015cf474.wav,0
0160d55e.wav,0
01638f61.wav,0
0172a2a5.wav,0
017ea24e.wav,0
01811e48.wav,0
0184c390.wav,0
018863f5.wav,0
018a10bb.wav,0
018b1df6.wav,0
018d1dc4.wav,0
0193042e.wav,0
01974c7c.wav,0
019aae9d.wav,0
019d2a2c.wav,0
01a36643.wav,0
01a39e95.wav,0
01a59a61.wav,0
01a59c11.wav,0
01a5dc85.wav,0
01b9f44a.wav,0
01c2f88b.wav,0
01d2475c.wav,0
01d4dafd.wav,0
01df7ada.wav,0
01e723f5.wav,0
01ec7a01.wav,0
01ee18fd.wav,0
01f2e70b.wav,0
01fc4661.wav,0
020eb9f6.wav,0
021f8009.wav,0
022092bc.wav,0
02267a1a.wav,0
02274ee8.wav,0
022a3507.wav,0
022cc908.wav,0
0231b9f3.wav,0
02328c03.wav,0
0236dccb.wav,0
023d3434.wav,0
0244bb9e.wav,0
024a193f.wav,0
024c4c6d.wav,0
024da466.wav,0
0256c2f2.wav,0
0259e5d2.wav,0
025f3fd2.wav,0
025f7eac.wav,0
0262817d.wav,0
0266774c.wav,0
027482e2.wav,0
027aa77c.wav,0
027aee2a.wav,0
027cd3fd.wav,0
0286fc27.wav,0
029632ad.wav,0
029b22f3.wav,0
029ee867.wav,0
02a3243a.wav,0
02ac1057.wav,0
02c095b4.wav,0
02c9a1f1.wav,0
02d367e4.wav,0
02d6b747.wav,0
02d7fba3.wav,0
02dbfc78.wav,0
02e9392e.wav,0
02eed858.wav,0
02f8e94d.wav,0
0313ea1a.wav,0
032f7280.wav,0
03320f05.wav,0
0338f669.wav,0
034beca1.wav,0
034e4ffa.wav,0
